[I 20180712 11:58:42 views:56] hello world
2018-07-12 12:05:27 views.py INFO  hello world
2018-07-13 16:29:00 views.py INFO  删除主机:aws-bj-rout
2018-07-13 16:55:57 views.py INFO  用户:172.20.33.146 删除主机:awsbr
2018-07-13 16:56:30 views.py INFO  用户:devops 删除主机:awsca
2018-07-13 20:20:35 views.py INFO  用户:devops 删除主机:awsde
2018-07-15 16:17:11 views.py INFO  用户:devops 删除主机:awsin
2018-07-16 14:11:09 views.py INFO  用户:devops 删除主机:awsire
2018-07-16 14:19:52 views.py INFO  用户:devops 删除主机:ali-sz-rout
2018-07-16 14:20:04 views.py INFO  用户:devops 删除主机:ali-hz-rout
2018-07-17 17:42:32 views.py INFO  初始化完成
2018-07-17 17:43:55 views.py INFO  初始化完成
2018-07-17 17:48:06 views.py INFO  初始化完成
2018-07-17 17:48:59 views.py INFO  初始化完成
2018-07-17 17:49:11 views.py INFO  初始化完成
2018-07-17 17:49:22 views.py INFO  初始化完成
2018-07-17 17:49:49 views.py INFO  初始化完成
2018-07-17 17:50:18 views.py INFO  初始化完成
2018-07-17 17:51:00 views.py INFO  初始化完成
2018-07-17 17:52:17 views.py INFO  初始化完成
2018-07-17 17:52:47 views.py INFO  初始化完成
2018-07-17 17:56:47 views.py INFO  初始化完成
2018-07-17 17:56:58 views.py INFO  初始化完成
2018-07-17 17:58:04 views.py INFO  初始化完成
2018-07-17 17:59:32 views.py INFO  初始化完成
2018-07-17 18:05:00 views.py INFO  初始化完成
2018-07-17 18:07:02 views.py INFO  初始化完成
2018-07-17 18:07:53 views.py INFO  初始化完成
2018-07-17 18:08:22 views.py INFO  初始化完成
2018-07-17 18:08:49 views.py INFO  初始化完成
2018-07-17 19:06:15 views.py INFO  初始化完成
2018-07-17 19:08:51 views.py INFO  初始化完成
2018-07-17 19:09:57 views.py INFO  初始化完成
2018-07-18 10:05:22 views.py INFO  用户:devops 删除主机:ah3x
2018-07-19 12:13:50 views.py INFO  用户:devops 删除主机组:undefined
2018-07-19 12:14:42 views.py INFO  用户:devops 删除主机组:李建军
2018-07-19 14:27:25 views.py INFO  用户:devops 删除主机:ali-bj-m01
2018-07-19 16:50:17 views.py INFO  用户:devops 创建主机组:None
2018-07-19 16:50:43 views.py INFO  用户:devops 创建主机组:None
